road_id,road_name,road_type,length_km,lanes,speed_limit_kmh,capacity_vehicles_per_hour,has_bus_lane,has_bike_lane,surface_condition,last_maintenance_date,latitude_start,longitude_start,latitude_end,longitude_end,district,toll_rate_rp,avg_daily_traffic
RD-0001,Jl. Segment 1,Jalan Kolektor,4.3,4,60,5384,0,0,Cukup,2022-12-21,-6.173938,106.920654,-6.187271,106.937674,PIK,0,10833
RD-0002,Jl. Segment 2,Jalan Arteri,4.3,4,80,6132,0,0,Baik,2022-11-17,-6.248396,106.768647,-6.24622,106.771962,Depok,0,6921
RD-0003,Jl. Segment 3,Jalan Lokal,1.8,2,40,978,0,0,Cukup,2023-04-15,-6.267631,106.814963,-6.264098,106.831007,Tangerang,0,1085
RD-0004,Jl. Segment 4,Jalan Kolektor,1.8,4,60,4160,0,1,Rusak Berat,2022-05-17,-6.112216,106.954036,-6.122268,106.958261,Mangga Dua,0,6145
RD-0005,Jl. Segment 5,Jalan Tol,22.7,4,80,6600,1,0,Baik,2024-02-16,-6.34976,106.861835,-6.341074,106.856648,Sudirman,7000,8023
RD-0006,Jl. Segment 6,Jalan Lingkungan,1.4,1,40,404,0,1,Rusak Ringan,2022-07-22,-6.210781,106.96127,-6.224882,106.955449,Senayan,0,474
RD-0007,Jl. Segment 7,Jalan Lokal,1.0,2,20,1318,0,0,Cukup,2023-02-19,-6.313205,106.892955,-6.306143,106.886125,Menteng,0,2133
RD-0008,Jl. Segment 8,Jalan Lokal,2.1,2,30,828,0,1,Cukup,2022-08-01,-6.18944,106.825046,-6.18058,106.833229,PIK,0,900
RD-0009,Jl. Segment 9,Jalan Tol,18.9,8,80,13272,1,0,Baik,2022-07-26,-6.303765,106.787068,-6.298471,106.802574,Kelapa Gading,15000,12171
RD-0010,Jl. Segment 10,Jalan Lingkungan,2.7,1,30,553,0,1,Baik,2022-09-10,-6.160512,106.968443,-6.148262,106.96569,PIK,0,738
RD-0011,Jl. Segment 11,Jalan Lokal,2.6,1,20,566,0,0,Baik,2022-08-10,-6.229897,106.715647,-6.215547,106.710705,Menteng,0,594
RD-0012,Jl. Segment 12,Jalan Tol,14.0,8,100,13600,1,0,Cukup,2022-10-26,-6.269852,106.777147,-6.275032,106.762697,Pluit,5000,9918
RD-0013,Jl. Segment 13,Jalan Tol,18.7,8,120,12040,0,0,Baik,2023-01-03,-6.335083,106.788392,-6.344905,106.788398,Blok M,10000,13255
RD-0014,Jl. Segment 14,Jalan Lokal,1.8,1,20,778,0,0,Cukup,2022-08-10,-6.219377,106.809475,-6.200861,106.794587,Kuningan,0,835
RD-0015,Jl. Segment 15,Jalan Lingkungan,1.7,2,30,1466,0,1,Cukup,2022-11-12,-6.274661,106.903859,-6.254667,106.906236,Mangga Dua,0,1228
RD-0016,Jl. Segment 16,Jalan Kolektor,5.0,2,60,2172,0,0,Cukup,2022-06-06,-6.236674,106.859437,-6.238663,106.864009,Cawang,0,2797
